Season,Dayzero,Regionw,Regionx,Regiony,Regionz
2003,11/4/2002,East,South,Midwest,West
2004,11/3/2003,Atlanta,Phoenix,EastRutherford,StLouis
2005,11/1/2004,Albuquerque,Chicago,Austin,Syracuse
2006,10/31/2005,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,10/30/2006,East,South,Midwest,West
2008,11/5/2007,East,Midwest,South,West
2009,11/3/2008,East,South,Midwest,West
2010,11/2/2009,East,South,Midwest,West
2011,11/1/2010,East,West,Southeast,Southwest
2012,10/31/2011,East,Midwest,South,West
2013,11/5/2012,East,South,Midwest,West
2014,11/4/2013,East,South,Midwest,West
2015,11/3/2014,East,South,Midwest,West
2016,11/2/2015,East,Midwest,South,West
2017,10/31/2016,East,West,Midwest,South
